chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean
6282169481,3,1,287,10,0.45593,0.93567
55e1951990,0,0,400,18,0.06325,0.90887
55e1951990,1,0,402,18,0.85203,0.98203
55e1951990,2,0,481,17,0.3413,0.95018
55e1951990,3,0,404,16,0.98074,0.99451
d23e76cdcc,0,1,194,7,0.1937,0.78988
d23e76cdcc,1,1,243,7,0.98135,0.99186
d23e76cdcc,2,1,244,10,0.97823,0.99452
d23e76cdcc,3,1,188,6,0.88426,0.97337
686c67ea2c,0,1,224,7,0.89073,0.97829
686c67ea2c,1,1,228,11,0.914,0.9868
686c67ea2c,2,1,246,8,0.94404,0.98224
686c67ea2c,3,1,222,8,0.96832,0.9883
49a79463e2,0,1,386,20,0.92638,0.98774
49a79463e2,1,1,463,12,0.93705,0.98917
49a79463e2,2,1,441,12,0.96101,0.98825
49a79463e2,3,1,422,11,0.91744,0.98105
bcaeec4f61,0,1,420,19,0.62898,0.97212
bcaeec4f61,1,1,408,19,0.95143,0.99179
bcaeec4f61,2,0,345,16,0.5068,0.91673
bcaeec4f61,3,1,425,16,0.2514,0.94698
067a97109a,0,0,202,8,0.97598,0.99344
067a97109a,1,0,180,7,0.96152,0.98547
067a97109a,2,0,257,9,0.94889,0.98708
067a97109a,3,0,257,8,0.96666,0.98877
13af77aba9,0,0,413,14,0.04863,0.85807
13af77aba9,1,0,512,15,0.06726,0.87718
13af77aba9,2,0,512,23,0.05009,0.8351
13af77aba9,3,0,478,12,0.29933,0.92208
ce87f5d953,0,1,446,18,0.9811,0.99414
ce87f5d953,1,1,400,13,0.33703,0.91273
ce87f5d953,2,1,425,11,0.87239,0.97805
ce87f5d953,3,1,325,8,0.64477,0.94479
cd0ef5576a,0,1,429,17,0.89473,0.98325
cd0ef5576a,1,0,512,18,0.98062,0.99491
cd0ef5576a,2,1,512,12,0.98141,0.9946
cd0ef5576a,3,1,440,16,0.15446,0.91952
c0b83e044c,0,0,218,8,0.94322,0.98654
c0b83e044c,1,0,172,8,0.98764,0.99526
c0b83e044c,2,0,297,9,0.98417,0.98945
c0b83e044c,3,0,326,13,0.98789,0.9954
d40f42ddf6,0,0,512,18,0.1094,0.94459
d40f42ddf6,1,0,320,14,0.10569,0.89924
d40f42ddf6,2,0,512,14,0.21198,0.88935
d40f42ddf6,3,0,448,16,0.02973,0.79392
958483bde2,0,1,228,11,0.95367,0.99177
958483bde2,1,1,233,11,0.9542,0.99211
958483bde2,2,1,227,13,0.902,0.98732
958483bde2,3,1,303,11,0.97377,0.99329
802783ca14,0,1,179,7,0.98868,0.99528
802783ca14,1,1,143,6,0.96664,0.98965
802783ca14,2,1,153,7,0.96863,0.99005
802783ca14,3,1,158,5,0.80941,0.93517
f26ada8cc5,0,1,242,7,0.9775,0.99265
f26ada8cc5,1,1,274,7,0.97949,0.99423
f26ada8cc5,2,1,254,7,0.9733,0.99061
f26ada8cc5,3,1,216,8,0.88528,0.98262
6397bf57a7,0,1,273,15,0.97484,0.99442
6397bf57a7,1,1,333,15,0.83369,0.98451
6397bf57a7,2,1,280,15,0.63227,0.96819
6397bf57a7,3,1,342,15,0.75355,0.97592
bf0094284e,0,0,492,16,0.29342,0.93997
bf0094284e,1,0,431,13,0.02727,0.91308
bf0094284e,2,0,512,16,0.45776,0.94954
bf0094284e,3,0,421,11,0.38582,0.92434
19dd46a066,0,1,366,12,0.99007,0.99745
19dd46a066,1,0,301,12,0.87355,0.98395
19dd46a066,2,1,337,14,0.9843,0.99722
19dd46a066,3,1,395,14,0.99475,0.99846
727362fa33,0,1,238,8,0.9723,0.99194
727362fa33,1,0,459,10,0.80517,0.96964
727362fa33,2,0,389,18,0.09617,0.7792
727362fa33,3,1,332,10,0.97967,0.99522
4baf18694c,0,1,320,17,0.96172,0.99164
4baf18694c,1,1,366,19,0.96406,0.99067
4baf18694c,2,1,285,13,0.96416,0.98875
4baf18694c,3,0,292,14,0.95212,0.98972
153b628773,0,1,247,9,0.9336,0.98978
153b628773,1,1,250,10,0.87428,0.98302
153b628773,2,1,206,10,0.1155,0.89491
153b628773,3,1,196,9,0.02855,0.85023
6d49fd3e4b,0,1,415,19,0.98273,0.99566
6d49fd3e4b,1,1,360,13,0.81941,0.97695
6d49fd3e4b,2,1,410,18,0.98841,0.99529
6d49fd3e4b,3,1,239,12,0.98677,0.9944
ff29d88480,0,1,132,5,0.98272,0.99342
ff29d88480,1,1,123,7,0.97346,0.98882
ff29d88480,2,1,233,10,0.91695,0.98499
ff29d88480,3,1,260,10,0.98841,0.99615
7bd438c7f3,0,1,323,10,0.95022,0.98914
7bd438c7f3,1,1,259,14,0.98571,0.9964
7bd438c7f3,2,1,215,9,0.72604,0.96502
7bd438c7f3,3,1,282,10,0.52713,0.93922
29e9d859d2,0,1,275,6,0.9636,0.98871
29e9d859d2,1,1,325,5,0.97635,0.98651
29e9d859d2,2,1,282,6,0.98335,0.99212
29e9d859d2,3,1,240,6,0.9413,0.98011
d0b6d688ce,0,1,272,15,0.9197,0.99164
d0b6d688ce,1,1,250,15,0.98252,0.99684
d0b6d688ce,2,1,291,8,0.97689,0.99399
d0b6d688ce,3,1,286,12,0.97165,0.99322
43881877f9,0,1,350,10,0.95769,0.98948
43881877f9,1,1,235,9,0.08227,0.85182
43881877f9,2,1,342,14,0.91571,0.98475
43881877f9,3,1,239,7,0.90094,0.97924
a030751506,0,1,301,11,0.98481,0.99366
a030751506,1,0,355,12,0.76259,0.97129
a030751506,2,1,250,9,0.71128,0.94802
a030751506,3,0,324,12,0.97017,0.9933
719d9ab214,0,1,287,11,0.76471,0.95527
719d9ab214,1,1,349,18,0.95512,0.98997
719d9ab214,2,1,266,11,0.95923,0.98817
719d9ab214,3,1,270,18,0.94442,0.98935
8df469f165,0,1,341,14,0.93662,0.99062
8df469f165,1,1,375,12,0.96362,0.99313
8df469f165,2,1,332,15,0.98715,0.99539
8df469f165,3,1,314,12,0.97201,0.99075
315ae0ca4e,0,1,319,9,0.31397,0.9164
315ae0ca4e,1,1,259,5,0.96773,0.98778
315ae0ca4e,2,1,219,7,0.79623,0.96607
