chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean,v1_synthetic_top8_min,v1_synthetic_top8_mean,v1_real4_top8_min,v1_real4_top8_mean,v2_synthetic_seed0_min,v2_synthetic_seed0_mean,v2_synthetic_seed1_min,v2_synthetic_seed1_mean,v2_synthetic_seed2_min,v2_synthetic_seed2_mean,v2_real8_seed0_min,v2_real8_seed0_mean,v2_real8_seed1_min,v2_real8_seed1_mean,v2_real8_seed2_min,v2_real8_seed2_mean
4e3c00c973,3,1,79,2,0.97443,0.98426,0.79566,0.88543,0.94967,0.95672,0.94738,0.95788,0.88404,0.92522,0.93629,0.95326,0.95257,0.97044,0.93991,0.96054,0.97702,0.98148
389c696982,0,1,109,3,0.96979,0.97865,0.91964,0.96428,0.92414,0.95822,0.9149,0.96389,0.9659,0.97479,0.84797,0.92719,0.95915,0.96755,0.95915,0.97604,0.9659,0.97541
389c696982,1,1,99,3,0.96036,0.97434,0.93245,0.96556,0.83114,0.92532,0.93343,0.96266,0.96486,0.97503,0.89479,0.92716,0.93535,0.95502,0.95114,0.97262,0.93245,0.95895
389c696982,2,1,81,3,0.95976,0.98486,0.93812,0.97752,0.93721,0.9684,0.95728,0.98354,0.88876,0.95607,0.9149,0.96705,0.95663,0.97314,0.92192,0.96331,0.95854,0.97306
389c696982,3,1,102,4,0.96932,0.98478,0.86613,0.94734,0.63613,0.89247,0.8872,0.94429,0.97404,0.97852,0.85195,0.94358,0.92192,0.95268,0.96267,0.97067,0.94738,0.957
68d393d382,0,0,141,5,0.00317,0.48603,0.05033,0.63325,0.20307,0.50622,0.12592,0.64481,0.02844,0.33037,0.45133,0.76251,0.02162,0.46457,0.13029,0.56682,0.4149,0.73014
68d393d382,1,0,138,8,0.9466,0.98418,0.70253,0.93399,0.88243,0.93605,0.71701,0.92656,0.73259,0.92454,0.79944,0.94104,0.77594,0.93632,0.75636,0.93577,0.89029,0.9372
68d393d382,2,0,120,6,0.02065,0.74153,0.14904,0.6164,0.09269,0.7572,0.10669,0.77278,0.04468,0.61572,0.02557,0.70972,0.33026,0.71851,0.27983,0.78805,0.17554,0.69259
68d393d382,3,1,102,5,0.78266,0.91015,0.5851,0.88226,0.45254,0.67085,0.21338,0.70364,0.34246,0.83571,0.35309,0.69405,0.72409,0.86381,0.77322,0.85375,0.64691,0.80231
bb7afdfe9c,0,1,89,4,0.9659,0.98631,0.95397,0.9714,0.95663,0.97074,0.95976,0.98126,0.94738,0.96867,0.92523,0.95993,0.96932,0.98252,0.83114,0.93042,0.95854,0.9773
bb7afdfe9c,1,1,79,4,0.98409,0.99213,0.51623,0.85028,0.8706,0.9435,0.8977,0.95807,0.56794,0.8563,0.93535,0.96687,0.96036,0.97965,0.96432,0.97641,0.95976,0.97789
bb7afdfe9c,2,1,108,4,0.99029,0.99246,0.96036,0.97813,0.96432,0.97911,0.97283,0.98477,0.90465,0.95655,0.84078,0.91947,0.9659,0.97262,0.95598,0.97877,0.96378,0.97732
bb7afdfe9c,3,1,94,4,0.98867,0.99275,0.96211,0.97381,0.94815,0.97001,0.97156,0.98162,0.93535,0.96608,0.9344,0.96305,0.9659,0.97562,0.95791,0.97438,0.97156,0.98194
7c3ca88b16,0,1,78,3,0.97771,0.98928,0.88243,0.95147,0.89625,0.93003,0.96153,0.97772,0.98145,0.98761,0.77046,0.89484,0.91964,0.93693,0.78793,0.87327,0.87408,0.91876
7c3ca88b16,1,0,298,13,0.89625,0.98995,0.12003,0.92684,0.89479,0.95696,0.23652,0.93492,0.75779,0.97631,0.95728,0.99236,0.75779,0.87963,0.81048,0.90807,0.81874,0.93184
7c3ca88b16,2,0,128,5,0.01001,0.79984,0.01099,0.7933,0.47597,0.8653,0.04672,0.80191,0.68847,0.93199,0.12252,0.81307,0.09671,0.74319,0.24945,0.78589,0.6593,0.9043
7c3ca88b16,3,1,104,6,0.84183,0.97147,0.94335,0.98587,0.68342,0.91884,0.97199,0.9911,0.98256,0.99257,0.97998,0.98982,0.46757,0.84875,0.84183,0.9393,0.85391,0.95122
92284b5389,0,1,95,3,0.00941,0.62019,0.18952,0.68904,0.08882,0.56089,0.15922,0.66269,0.02676,0.39187,0.01243,0.40651,0.10971,0.62104,0.0851,0.28197,0.60253,0.7214
92284b5389,1,0,106,5,0.36116,0.82299,0.30902,0.81846,0.72875,0.86221,0.56049,0.79554,0.17781,0.76372,0.29911,0.79837,0.76908,0.85178,0.54988,0.73167,0.77322,0.80885
92284b5389,2,0,170,9,0.81168,0.97467,0.87408,0.98049,0.8808,0.95741,0.93146,0.98614,0.64243,0.94929,0.84183,0.96446,0.87915,0.9625,0.75201,0.92762,0.85488,0.90252
92284b5389,3,1,158,7,0.98831,0.99556,0.97113,0.99193,0.9263,0.97181,0.72798,0.95711,0.80928,0.95542,0.71223,0.94215,0.90329,0.94717,0.90731,0.95141,0.82104,0.88961
649f8d7e4a,0,1,70,3,0.95114,0.97939,0.95663,0.97617,0.96932,0.98545,0.97324,0.98786,0.8872,0.93552,0.92304,0.9613,0.94335,0.97076,0.96741,0.97937,0.96641,0.98148
649f8d7e4a,1,1,60,3,0.94815,0.97116,0.80069,0.8898,0.97871,0.98886,0.93535,0.97046,0.87147,0.92949,0.93046,0.9578,0.96211,0.97974,0.97631,0.98348,0.98999,0.99316
649f8d7e4a,2,1,68,3,0.94815,0.97925,0.94892,0.97539,0.96432,0.98257,0.97404,0.98831,0.89912,0.93831,0.92192,0.96362,0.94335,0.96706,0.96095,0.97506,0.97199,0.98279
649f8d7e4a,3,1,84,3,0.93812,0.9749,0.92523,0.96589,0.97558,0.98124,0.94165,0.97635,0.90192,0.94896,0.91848,0.95968,0.95663,0.96452,0.96538,0.97695,0.96741,0.9791
c88de7ab9e,0,1,70,2,0.71542,0.8511,0.88243,0.89805,0.95114,0.96373,0.56937,0.76839,0.90991,0.94596,0.94165,0.94849,0.9752,0.97789,0.94738,0.96708,0.96378,0.96701
c88de7ab9e,1,1,69,3,0.55905,0.84713,0.85585,0.90929,0.97443,0.984,0.49103,0.82308,0.93991,0.96223,0.94165,0.96551,0.97443,0.98405,0.96036,0.97902,0.97558,0.98439
c88de7ab9e,2,1,70,2,0.83655,0.91167,0.86431,0.8914,0.95041,0.96488,0.67233,0.81886,0.90862,0.94749,0.93812,0.95095,0.96741,0.9729,0.93902,0.96269,0.95791,0.96338
c88de7ab9e,3,1,76,3,0.9263,0.97033,0.8977,0.93259,0.97631,0.98416,0.74762,0.90727,0.93046,0.9694,0.93629,0.96742,0.98678,0.9897,0.96267,0.97881,0.97805,0.98368
f1db6e8665,0,1,136,7,0.97482,0.99207,0.98831,0.99576,0.9679,0.99214,0.83332,0.97048,0.95791,0.98776,0.9263,0.97282,0.97324,0.98772,0.96211,0.98041,0.96838,0.98346
f1db6e8665,1,1,157,5,0.48487,0.88987,0.89912,0.96908,0.60019,0.9075,0.12003,0.74145,0.02887,0.78255,0.33026,0.78982,0.91611,0.95458,0.59361,0.85095,0.77046,0.90847
f1db6e8665,2,1,152,4,0.97443,0.99046,0.89625,0.97183,0.9679,0.97954,0.92304,0.9785,0.96979,0.98685,0.84183,0.94808,0.94738,0.96929,0.79438,0.93603,0.88404,0.94759
f1db6e8665,3,1,150,7,0.97631,0.99318,0.98967,0.99616,0.98256,0.99243,0.94251,0.98662,0.96323,0.98796,0.93245,0.97377,0.96432,0.98464,0.97024,0.97872,0.87579,0.955
ff7a482507,0,0,180,6,0.9659,0.9849,0.44553,0.80224,0.56362,0.86868,0.77865,0.92847,0.65224,0.90127,0.9149,0.96177,0.55109,0.88165,0.69678,0.86727,0.84797,0.91623
ff7a482507,1,1,151,6,0.97667,0.98881,0.94251,0.97492,0.84078,0.93007,0.97156,0.98877,0.95328,0.98391,0.91244,0.97929,0.93991,0.96944,0.96211,0.97505,0.96211,0.97629
ff7a482507,2,0,188,5,0.90862,0.96459,0.62429,0.90669,0.85294,0.94337,0.84286,0.96444,0.68257,0.92133,0.36116,0.85993,0.23935,0.8127,0.74017,0.90435,0.51001,0.86158
ff7a482507,3,1,139,4,0.62154,0.8957,0.30239,0.7662,0.35757,0.80848,0.55568,0.8681,0.9344,0.96851,0.23231,0.72404,0.94738,0.96595,0.95465,0.96397,0.87408,0.93952
edb3ed4fb3,0,1,79,3,0.96095,0.98532,0.95257,0.97332,0.95598,0.96518,0.95257,0.97763,0.81641,0.90983,0.93991,0.97257,0.9263,0.94405,0.8872,0.93407,0.91368,0.94539
edb3ed4fb3,1,1,65,3,0.9149,0.96361,0.83868,0.93858,0.9344,0.96537,0.88876,0.95674,0.85391,0.90199,0.29503,0.71525,0.88404,0.94181,0.70497,0.83286,0.76908,0.89924
edb3ed4fb3,2,1,58,3,0.7066,0.9002,0.85777,0.94744,0.81641,0.87329,0.50337,0.77317,0.87831,0.9493,0.93343,0.96806,0.59784,0.80305,0.88563,0.92904,0.87997,0.92756
edb3ed4fb3,3,1,78,3,0.97324,0.98855,0.96153,0.98232,0.96538,0.96862,0.95976,0.98181,0.84594,0.91238,0.95728,0.97916,0.92523,0.94495,0.88243,0.93322,0.94418,0.95718
abae23b3d6,0,1,60,2,0.94499,0.96793,0.90991,0.94274,0.96691,0.97197,0.92414,0.94369,0.47804,0.67476,0.90329,0.90464,0.97558,0.98157,0.93721,0.96179,0.94079,0.96083
abae23b3d6,1,1,78,3,0.96641,0.98513,0.9263,0.96984,0.92944,0.96071,0.94738,0.97511,0.84078,0.92946,0.91848,0.95113,0.97935,0.98675,0.92414,0.95396,0.95186,0.97382
abae23b3d6,2,1,86,3,0.96153,0.98236,0.91368,0.96622,0.98409,0.98701,0.95598,0.97791,0.8439,0.92712,0.9173,0.95537,0.97871,0.98807,0.94079,0.96603,0.95257,0.97793
abae23b3d6,3,1,67,3,0.96486,0.98264,0.93046,0.96898,0.98678,0.99108,0.93629,0.96035,0.24945,0.71111,0.92736,0.95761,0.98309,0.98766,0.97667,0.98767,0.97904,0.99005
8c015fc592,0,1,128,6,0.98088,0.99428,0.96267,0.98616,0.96211,0.98223,0.9855,0.99395,0.9679,0.98875,0.96838,0.98631,0.99059,0.9934,0.9344,0.97007,0.94892,0.97416
8c015fc592,1,0,144,6,0.98201,0.99527,0.96267,0.98848,0.95041,0.98077,0.98256,0.99388,0.97667,0.99039,0.96691,0.98632,0.98867,0.99304,0.95663,0.97351,0.95976,0.96829
8c015fc592,2,0,157,5,0.97838,0.99126,0.83762,0.95102,0.85294,0.94074,0.86971,0.96857,0.80194,0.94733,0.74317,0.93074,0.92523,0.97532,0.81874,0.93711,0.89331,0.94589
8c015fc592,3,1,132,6,0.98458,0.99351,0.9752,0.98105,0.88563,0.96539,0.97156,0.98707,0.96691,0.98473,0.9679,0.98438,0.97324,0.9836,0.86154,0.94634,0.94418,0.96655
d9f901a1c0,0,0,74,4,0.23511,0.75425,0.56602,0.80965,0.61277,0.86443,0.56985,0.8394,0.40451,0.71767,0.76769,0.89299,0.21601,0.65628,0.88563,0.95307,0.33808,0.71651
d9f901a1c0,1,1,83,5,0.99142,0.9964,0.99194,0.99506,0.98458,0.98951,0.98504,0.99447,0.95328,0.98235,0.89912,0.96939,0.98174,0.98927,0.97324,0.9848,0.96153,0.97365
d9f901a1c0,2,0,70,4,0.82671,0.95231,0.78133,0.94075,0.94079,0.96833,0.57511,0.89059,0.1394,0.77459,0.5448,0.87456,0.19193,0.73981,0.85777,0.9553,0.85585,0.94278
d9f901a1c0,3,1,83,5,0.98935,0.99588,0.99115,0.99478,0.98458,0.99,0.98409,0.99413,0.94738,0.98156,0.90731,0.97048,0.98201,0.99128,0.97364,0.98616,0.95791,0.97501
4891414404,0,1,81,3,0.98795,0.99317,0.97805,0.98622,0.97443,0.97757,0.97967,0.98822,0.97241,0.98698,0.96432,0.98203,0.98636,0.99137,0.97838,0.98452,0.99494,0.99718
4891414404,1,1,66,2,0.98757,0.99303,0.95532,0.97686,0.89479,0.94078,0.95465,0.97652,0.89331,0.94521,0.91848,0.95733,0.91964,0.95838,0.87235,0.93015,0.78133,0.88994
4891414404,2,1,75,2,0.99059,0.99319,0.98201,0.98534,0.94251,0.95314,0.96378,0.97567,0.9263,0.95567,0.93535,0.95796,0.97558,0.97681,0.95465,0.96289,0.96641,0.97595
4891414404,3,1,61,2,0.93343,0.96402,0.93245,0.95695,0.92192,0.92816,0.95598,0.97283,0.80317,0.889,0.86793,0.92079,0.95728,0.96816,0.9149,0.94789,0.98757,0.99234
34bcabae57,0,0,70,2,0.97838,0.98353,0.94499,0.9562,0.50558,0.74182,0.67918,0.83736,0.92523,0.9564,0.62704,0.80649,0.5222,0.75046,0.47634,0.72577,0.397,0.66002
34bcabae57,1,1,80,2,0.98458,0.99201,0.97324,0.98191,0.68595,0.83425,0.9466,0.97242,0.9263,0.9597,0.74909,0.86634,0.61231,0.79974,0.62429,0.80117,0.48975,0.71302
34bcabae57,2,0,69,3,0.9659,0.97804,0.8606,0.94206,0.60487,0.84611,0.83114,0.93026,0.95397,0.98017,0.55544,0.84745,0.55736,0.83708,0.72798,0.89205,0.49335,0.80384
34bcabae57,3,1,73,3,0.99194,0.99458,0.97156,0.98756,0.84997,0.93907,0.97737,0.99145,0.96979,0.98531,0.74762,0.91039,0.89181,0.94977,0.86431,0.94088,0.65754,0.84996
0227176140,0,0,63,3,0.98174,0.98979,0.91848,0.97155,0.98145,0.98586,0.92192,0.97153,0.88563,0.96099,0.96886,0.98274,0.96886,0.97752,0.95976,0.97522,0.96432,0.97985
0227176140,1,1,69,3,0.91848,0.96985,0.92192,0.97126,0.97904,0.98616,0.94251,0.97763,0.93991,0.97744,0.98201,0.98733,0.97443,0.98165,0.96153,0.97536,0.97967,0.98177
0227176140,2,1,62,3,0.95854,0.98426,0.98309,0.99298,0.98678,0.98921,0.95257,0.98261,0.93245,0.97607,0.97404,0.98651,0.96486,0.98135,0.95257,0.97511,0.96838,0.98449
0227176140,3,1,62,3,0.96886,0.98605,0.96932,0.98866,0.98458,0.98643,0.9458,0.97983,0.93721,0.97823,0.97667,0.98611,0.97364,0.98028,0.95465,0.97387,0.97443,0.98457
7a72e82cd8,0,1,161,6,0.04535,0.83655,0.02405,0.82034,0.65489,0.91801,0.07808,0.83908,0.03021,0.8298,0.04209,0.82922,0.19806,0.83761,0.56985,0.90761,0.82671,0.93612
7a72e82cd8,1,1,196,7,0.85391,0.97267,0.97069,0.99149,0.97771,0.99372,0.96886,0.99229,0.87748,0.97017,0.87408,0.97261,0.92841,0.9666,0.96932,0.97767,0.94738,0.96997
7a72e82cd8,2,0,142,8,0.97156,0.98991,0.93046,0.98603,0.81757,0.96369,0.97113,0.99112,0.8439,0.96807,0.9344,0.98211,0.83441,0.95154,0.90053,0.95293,0.92523,0.9547
7a72e82cd8,3,1,157,4,0.83114,0.94938,0.96153,0.97938,0.82333,0.94018,0.95397,0.98276,0.83762,0.91798,0.82219,0.92489,0.85294,0.92459,0.90731,0.92706,0.85681,0.9361
4da9716ec4,0,1,135,5,0.96432,0.98534,0.97199,0.98496,0.90599,0.96079,0.87915,0.947,0.94892,0.96369,0.9263,0.95746,0.9173,0.95341,0.93991,0.96325,0.95465,0.97022
4da9716ec4,1,1,143,11,0.97998,0.99479,0.9659,0.99339,0.95328,0.98254,0.85096,0.97914,0.90599,0.98216,0.95465,0.9904,0.94165,0.98426,0.94967,0.98118,0.94335,0.98094
